title,artist,youtubeVideoId,appleMusicTrackId,appleMusicPreviewUrl,durationSec,themes,lyrics
有一種悲傷,A-Lin,BRcudpJzy1I,1438207200,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/1c/21/f6/1c21f6dd-f1ea-dfdc-8101-7ca17b9bd296/mzaf_2441576679989042092.plus.aac.p.m4a,241,華語流行;KTV必唱;失戀療傷;深夜EMO,
給我一個理由忘記,A-Lin,H3O4rREOZt8,930758262,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/a8/b6/de/a8b6defd-10f6-4dc5-4d19-62ad54c7ec11/mzaf_1556431057544426627.plus.aac.p.m4a,287,華語流行;KTV必唱;失戀療傷;深夜EMO,
我知道,BY2,UyGJNeBcntk,1070826150,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/88/8d/c9/888dc99f-b4a1-e843-4e45-4125afb4e164/mzaf_18209670750050359946.plus.aac.p.m4a,245,失戀療傷;華語流行;經典必聽;KTV必唱,
雪Distance,Capper,NCuVko5Hw6w,1674697488,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/ed/21/16/ed2116d9-2794-3603-51f2-7905df6f1441/mzaf_11191743421424167689.plus.aac.p.m4a,166,說唱饒舌,
來自天堂的魔鬼,G.E.M.,FWtbGkpdoP4,1053552399,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/d8/3f/68/d83f6887-27a1-b127-84ae-341471e40cf2/mzaf_8414505929528707554.plus.aac.p.m4a,257,華語流行;經典必聽;KTV必唱;R&B與節奏感;熱血青春;城市夜行;通勤歌單;聚會合唱,
倒數,G.E.M.,ma7r2HGqwXs,1422581998,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/d2/70/22/d2702208-bfde-fb3e-d7cd-6b962ef40d36/mzaf_366523854842282670.plus.aac.p.m4a,242,華語流行;KTV必唱;熱血青春,
光年之外,G.E.M.,T4SimnaiktU,1818539844,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/1e/13/92/1e139266-3e01-c65b-50e1-4db14bd86619/mzaf_14612426343664382047.plus.aac.p.m4a,236,華語流行;KTV必唱;熱血青春,
再見,G.E.M.,Lhel0tzHE08,1115591804,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/65/f7/d6/65f7d632-f00b-b0af-f8ae-dc7c3bef6a06/mzaf_11867934218002051353.plus.aac.p.m4a,216,華語流行;經典必聽;KTV必唱;R&B與節奏感;失戀療傷;深夜EMO;熱血青春;城市夜行;通勤歌單;聚會合唱,
喜歡你,G.E.M.,4OqXWzekVw4,1818539908,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/f8/c3/66/f8c366a7-c24f-d408-1c8b-d706c52a2779/mzaf_10200984510696695871.plus.aac.p.m4a,270,華語流行;經典必聽;KTV必唱;R&B與節奏感;告白甜歌;熱血青春;城市夜行;通勤歌單;聚會合唱,
多遠都要在一起,G.E.M.,D9ksLn6hZ7Q,1053567928,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/44/fd/d8/44fdd8d6-6034-7213-5717-ee4b804eb8d8/mzaf_2585594036384074677.plus.aac.p.m4a,325,華語流行;經典必聽;KTV必唱;R&B與節奏感;失戀療傷;深夜EMO;熱血青春;城市夜行;通勤歌單;聚會合唱,
夜空中最亮的星,G.E.M.,j22AIr5KlTc,1534864471,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/74/3a/53/743a536e-12d2-a75a-6044-a138fd354a50/mzaf_44640652431100722.plus.aac.p.m4a,238,華語流行;經典必聽;KTV必唱;R&B與節奏感;失戀療傷;深夜EMO;熱血青春;城市夜行;通勤歌單;聚會合唱,
新的心跳,G.E.M.,vDR-e3W6ARc,1016376836,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5f/c2/fb/5fc2fbdb-33ed-1368-4fc5-2c51087da8d2/mzaf_7741341844804056153.plus.aac.p.m4a,314,華語流行;經典必聽;KTV必唱;R&B與節奏感;熱血青春;城市夜行;通勤歌單;聚會合唱,
泡沫,G.E.M.,mGeiABBB5f8,1818539839,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/44/4d/88/444d88e6-e511-b04c-4424-a589f3b6a155/mzaf_7534511337061462432.plus.aac.p.m4a,259,華語流行;經典必聽;KTV必唱;R&B與節奏感;失戀療傷;深夜EMO;熱血青春;城市夜行;通勤歌單;聚會合唱,
我愛台妹,MC HotDog,z4nlIecbv-k,1777418894,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/8a/3f/b4/8a3fb4aa-b791-be0c-7ab5-fc85d927474e/mzaf_15941922410038295810.plus.aac.p.m4a,239,華語流行;說唱饒舌;R&B與節奏感;告白甜歌;熱血青春;城市夜行;通勤歌單,
Super Star,S.H.E,ShgAspeDRds,551570912,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/79/74/b2/7974b240-d160-d09c-34cb-8eaaac7ac489/mzaf_18341187977018790057.plus.aac.p.m4a,227,華語流行;經典必聽;KTV必唱;跨年代金曲;R&B與節奏感;告白甜歌;熱血青春;通勤歌單;聚會合唱,（請自行填入歌詞供 LYRIC_LINE 模式使用，避免著作權疑慮，此處不預先填入）
中國話,S.H.E,3baofXUpIqM,551325898,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b9/90/a4/b990a46f-e2d7-05f3-99b4-cff044b02d23/mzaf_15892354089681939062.plus.aac.p.m4a,223,華語流行;經典必聽;KTV必唱;跨年代金曲;R&B與節奏感;告白甜歌;熱血青春;通勤歌單;聚會合唱,（請自行填入歌詞供 LYRIC_LINE 模式使用，避免著作權疑慮，此處不預先填入）
熱帶雨林,S.H.E,-vYQGxzNQmg,571889400,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/42/fa/75/42fa7516-0cf2-5e99-5941-40fdb52bcc09/mzaf_2528960527999933661.plus.aac.p.m4a,278,華語流行;經典必聽;KTV必唱;跨年代金曲;R&B與節奏感;告白甜歌;熱血青春;通勤歌單;聚會合唱,
零距離的思念,TINY7,jEbSQwqDfjM,1862231822,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/06/28/4f/06284f67-75a7-f93c-5d93-9b0f177163f5/mzaf_1189197780051957838.plus.aac.p.m4a,187,抖音神曲,
500天,九九,B5ner2-oBGQ,1610388337,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/53/07/f0/5307f036-d263-1e93-5c40-91449981ff33/mzaf_17460456948884838192.plus.aac.p.m4a,258,KTV必唱;失戀療傷;深夜EMO;華語流行,
乾杯,五月天,DyNiujSHnOk,1081297130,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/5a/65/68/5a6568fe-ffd9-d7c2-d552-abecf307e382/mzaf_8546411924806899679.plus.aac.p.m4a,386,華語流行;經典必聽;KTV必唱;跨年代金曲;聽團歌;告白甜歌;熱血青春;通勤歌單;聚會合唱,
好好（想把你寫成一首歌）,五月天,HxIct0i-CcA,1158763993,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/e0/48/b0/e048b037-4dac-7c79-844a-0dde44145165/mzaf_4405275588406780265.plus.aac.p.m4a,226,華語流行;經典必聽;KTV必唱;跨年代金曲;聽團歌;告白甜歌;熱血青春;通勤歌單;聚會合唱,
如果我們不曾相遇,五月天,zSWnNE0tkiw,1158763991,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/dd/4c/ed/dd4ced12-54ff-97ed-b78f-ac8ed4b861e8/mzaf_7341605380436980788.plus.aac.p.m4a,230,華語流行;經典必聽;KTV必唱;跨年代金曲;聽團歌;告白甜歌;熱血青春;通勤歌單;聚會合唱,
如煙,五月天,Qd9YGu3FWgc,1081381275,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/f1/77/ed/f177ed1f-f5c8-8e50-2b0b-e3739a4e2559/mzaf_14377944414817154819.plus.aac.p.m4a,320,華語流行;經典必聽;KTV必唱;跨年代金曲;聽團歌;熱血青春;通勤歌單;聚會合唱,
後來的我們,五月天,PzVgfLLZ954,1158763996,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/5e/1e/b2/5e1eb2ed-5761-783a-d5c1-6f9eef95edb3/mzaf_2179126581485006748.plus.aac.p.m4a,357,華語流行;經典必聽;KTV必唱;跨年代金曲;聽團歌;熱血青春;通勤歌單;聚會合唱,
我不願讓你一個人,五月天,qkOtQU1wb_Q,1081297131,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/26/bb/b1/26bbb1ea-bc09-30a5-65c4-7441afa10214/mzaf_6268297686634269571.plus.aac.p.m4a,267,華語流行;經典必聽;KTV必唱;跨年代金曲;聽團歌;熱血青春;通勤歌單;聚會合唱,
星空,五月天,RTUwaCImChM,1081297132,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/16/a2/0c/16a20cbe-c8c2-b637-ac97-8cd02ddfb858/mzaf_676102639965623815.plus.aac.p.m4a,343,華語流行;經典必聽;KTV必唱;跨年代金曲;聽團歌;熱血青春;通勤歌單;聚會合唱,
派對動物,五月天,DU_yNJ3UVwU,1158763998,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/34/c3/8f/34c38f00-ce4d-2c53-9b33-37805a623faf/mzaf_16070079516222580775.plus.aac.p.m4a,284,華語流行;經典必聽;KTV必唱;跨年代金曲;聽團歌;熱血青春;通勤歌單;聚會合唱,
知足,五月天,xKWoLDsJJKo,1207222578,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/49/37/a8/4937a807-fb5c-6ec3-04dd-86e5547f25d3/mzaf_9753000863767078148.plus.aac.p.m4a,271,華語流行;經典必聽;KTV必唱;跨年代金曲;聽團歌;告白甜歌;熱血青春;通勤歌單;聚會合唱,（請自行填入歌詞供 LYRIC_LINE 模式使用，避免著作權疑慮，此處不預先填入）
突然好想你,五月天,EopCPbEj1FA,1081381266,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/80/aa/a2/80aaa2ca-171a-b74b-72de-81fcc8cdec0f/mzaf_2062386005950218021.plus.aac.p.m4a,307,華語流行;經典必聽;KTV必唱;跨年代金曲;聽團歌;告白甜歌;熱血青春;通勤歌單;聚會合唱,（請自行填入歌詞供 LYRIC_LINE 模式使用，避免著作權疑慮，此處不預先填入）
諾亞方舟,五月天,7u76RWd4UM0,1081309220,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/df/85/b7/df85b7d8-e883-c699-5ef9-ddce3f20db07/mzaf_2109689764227051675.plus.aac.p.m4a,348,華語流行;經典必聽;KTV必唱;跨年代金曲;聽團歌;熱血青春;通勤歌單;聚會合唱,（請自行填入歌詞供 LYRIC_LINE 模式使用，避免著作權疑慮，此處不預先填入）
頑固,五月天,W2VEh2Y5k4I,1158763997,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/ac/bc/92/acbc9291-d866-cc51-864e-feeab972a03c/mzaf_4822188977432768046.plus.aac.p.m4a,429,華語流行;經典必聽;KTV必唱;跨年代金曲;聽團歌;熱血青春;通勤歌單;聚會合唱,
心太軟,任賢齊,DlQtahDMDCw,1070739284,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/6e/60/20/6e60200c-d504-744b-d556-456fdc92dc3f/mzaf_16166076213417518929.plus.aac.p.m4a,353,華語流行;經典必聽;KTV必唱;跨年代金曲;失戀療傷;聚會合唱,
搖落YoLue,兄弟本色 G.U.T.S,-u0DaJc3CIk,,,313,華語流行;說唱饒舌;R&B與節奏感;熱血青春;城市夜行;通勤歌單,
迷途羔羊,兄弟本色 G.U.T.S,XhskxMRrk_A,1850409684,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/91/62/db/9162db2a-850a-567a-9329-42180886c3e6/mzaf_4222812191808838749.plus.aac.p.m4a,272,華語流行;說唱饒舌;R&B與節奏感;熱血青春;城市夜行;通勤歌單,
想見你想見你想見你,八三夭,Zh7gmg8VjFc,1486136137,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/33/6d/6a/336d6aa9-e7f6-8b58-b4a6-9f17bedfac75/mzaf_9727761699704915210.plus.aac.p.m4a,240,華語流行;聽團歌;熱血青春;城市夜行;通勤歌單;聚會合唱,
兩難,加木,IqCcqboPeX0,1801731880,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/e0/43/25/e0432527-5ea0-280a-33d0-cd740c595206/mzaf_12880206260424419476.plus.aac.p.m4a,170,抖音神曲,
在這座城市遺失了你,告五人,3Iv5jpusmCw,1544722555,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/01/69/70/0169709b-b7c4-2b3b-c497-26ed0527e520/mzaf_12422750865636199283.plus.aac.p.m4a,350,華語流行;聽團歌;熱血青春;城市夜行;通勤歌單;聚會合唱,
帶我去找夜生活,告五人,VJjN_yxKnL8,1492688176,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/29/43/ea/2943ea8a-fff5-9387-756f-dc7c7a66d56f/mzaf_5114626731721012870.plus.aac.p.m4a,300,華語流行;聽團歌;熱血青春;城市夜行;通勤歌單;聚會合唱,
愛人錯過,告五人,6D79CYTxvOM,1546062805,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/2f/48/6a/2f486aea-49ce-4bd8-0392-1b46b5b99c40/mzaf_9473331430726024879.plus.aac.p.m4a,293,華語流行;聽團歌;失戀療傷;告白甜歌;深夜EMO;熱血青春;城市夜行;通勤歌單;聚會合唱,
披星戴月的想你,告五人,czUF4VR2m-4,1546062815,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/b3/3f/b1/b33fb158-c5f9-4e44-cbcc-9f46b23642b0/mzaf_2277403908128486962.plus.aac.p.m4a,350,華語流行;聽團歌;告白甜歌;熱血青春;城市夜行;通勤歌單;聚會合唱,
黃昏,周傳雄,6ca_YHZvzls,290187219,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/76/56/83/765683a1-d8e9-3d3b-acff-a104475b6de7/mzaf_15603137596913480651.plus.aac.p.m4a,338,華語流行;經典必聽;KTV必唱;跨年代金曲;失戀療傷;深夜EMO,
I Do,周杰倫,wIgduzASI6A,1887247016,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/1f/91/7c/1f917c9c-3d8f-0a4a-1d3b-ba12f8f4b923/mzaf_8971350328977764490.plus.aac.p.m4a,217,華語流行;經典必聽;KTV必唱;跨年代金曲;R&B與節奏感;告白甜歌;熱血青春;城市夜行;通勤歌單;聚會合唱,
一路向北,周杰倫,L229QDxDakU,536009753,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/f6/23/91/f6239173-79c5-663b-0894-b143753d1722/mzaf_10517715920157224642.plus.aac.p.m4a,302,華語流行;經典必聽;KTV必唱;跨年代金曲;R&B與節奏感;失戀療傷;深夜EMO;熱血青春;城市夜行;通勤歌單;聚會合唱,
