title,artist,youtubeVideoId,appleMusicTrackId,appleMusicPreviewUrl,deezerTrackId,deezerPreviewUrl,durationSec,themes,lyrics
有一種悲傷,A-Lin,BRcudpJzy1I,1438207200,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/1c/21/f6/1c21f6dd-f1ea-dfdc-8101-7ca17b9bd296/mzaf_2441576679989042092.plus.aac.p.m4a,564223932,"https://cdnt-preview.dzcdn.net/api/1/1/e/2/0/0/e20cf125765ec06cf223d5f820186640.mp3?hdnea=exp=1789844998~acl=/api/1/1/e/2/0/0/e20cf125765ec06cf223d5f820186640.mp3*~data=user_id=0,application_id=42~hmac=3e309023a824ccbacf057681f65208b7408eeb87330221f6b0c63a93db338426",241,華語流行;KTV必唱;失戀療傷;深夜EMO,
給我一個理由忘記,A-Lin,H3O4rREOZt8,930758262,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/a8/b6/de/a8b6defd-10f6-4dc5-4d19-62ad54c7ec11/mzaf_1556431057544426627.plus.aac.p.m4a,,,287,華語流行;KTV必唱;失戀療傷;深夜EMO,
我知道,BY2,UyGJNeBcntk,1070826150,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/88/8d/c9/888dc99f-b4a1-e843-4e45-4125afb4e164/mzaf_18209670750050359946.plus.aac.p.m4a,143317190,"https://cdnt-preview.dzcdn.net/api/1/1/9/e/d/0/9edba83b59995608f05e40308a865c85.mp3?hdnea=exp=1789845003~acl=/api/1/1/9/e/d/0/9edba83b59995608f05e40308a865c85.mp3*~data=user_id=0,application_id=42~hmac=1c85d30841879c46979c4ceea7450ea4e46dd0daabd9ab611c04e349429371ab",245,失戀療傷;華語流行;經典必聽;KTV必唱,
雪Distance,Capper,NCuVko5Hw6w,1674697488,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/ed/21/16/ed2116d9-2794-3603-51f2-7905df6f1441/mzaf_11191743421424167689.plus.aac.p.m4a,2169422197,"https://cdnt-preview.dzcdn.net/api/1/1/1/d/e/0/1de4ec6ae02d4e6d4b4a29cd8909846e.mp3?hdnea=exp=1789845005~acl=/api/1/1/1/d/e/0/1de4ec6ae02d4e6d4b4a29cd8909846e.mp3*~data=user_id=0,application_id=42~hmac=e4b9893b29e9dab33c379e5e40de5922f3cebd9d7a9e5747d3b76faea704f1fc",166,說唱饒舌,
來自天堂的魔鬼,G.E.M.,FWtbGkpdoP4,1053552399,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/d8/3f/68/d83f6887-27a1-b127-84ae-341471e40cf2/mzaf_8414505929528707554.plus.aac.p.m4a,110680132,"https://cdnt-preview.dzcdn.net/api/1/1/e/d/7/0/ed7c8b37d202232323e76819bdc84749.mp3?hdnea=exp=1789845008~acl=/api/1/1/e/d/7/0/ed7c8b37d202232323e76819bdc84749.mp3*~data=user_id=0,application_id=42~hmac=18325b1556bf3cfa32784f114dc507412ab233b4cbc1204593ed5b68ba725cb2",257,華語流行;經典必聽;KTV必唱;R&B與節奏感;熱血青春;城市夜行;通勤歌單;聚會合唱,
倒數,G.E.M.,ma7r2HGqwXs,1422581998,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/d2/70/22/d2702208-bfde-fb3e-d7cd-6b962ef40d36/mzaf_366523854842282670.plus.aac.p.m4a,536746492,"https://cdnt-preview.dzcdn.net/api/1/1/b/9/8/0/b982eb45b79211d23cefc3b2ff32c670.mp3?hdnea=exp=1789845010~acl=/api/1/1/b/9/8/0/b982eb45b79211d23cefc3b2ff32c670.mp3*~data=user_id=0,application_id=42~hmac=eb6aa01d78b2d1baf114eeb0221bc59f8db2dd289a58f280a8f69c177e43ae0d",242,華語流行;KTV必唱;熱血青春,
光年之外,G.E.M.,T4SimnaiktU,1818539844,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/1e/13/92/1e139266-3e01-c65b-50e1-4db14bd86619/mzaf_14612426343664382047.plus.aac.p.m4a,139025897,"https://cdnt-preview.dzcdn.net/api/1/1/d/3/f/0/d3fd175c04cf93e8293796aab9ea2632.mp3?hdnea=exp=1789845012~acl=/api/1/1/d/3/f/0/d3fd175c04cf93e8293796aab9ea2632.mp3*~data=user_id=0,application_id=42~hmac=9f9cbbc7f2590e667cff70289abe8c3be685e4c2eb6c9f73bbfba8b50bc39899",236,華語流行;KTV必唱;熱血青春,
再見,G.E.M.,Lhel0tzHE08,1070300792,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/5a/14/29/5a1429fa-7969-ffad-b5b8-c1266de77a42/mzaf_2707952760558695887.plus.aac.p.m4a,110680128,"https://cdnt-preview.dzcdn.net/api/1/1/3/e/4/0/3e490a990b7824e1c6c9ccd8aba052bc.mp3?hdnea=exp=1789845015~acl=/api/1/1/3/e/4/0/3e490a990b7824e1c6c9ccd8aba052bc.mp3*~data=user_id=0,application_id=42~hmac=d59a6823ac553c6914066b0c96206d10feab8d7d84b0f791ef295586497c7a49",206,華語流行;經典必聽;KTV必唱;R&B與節奏感;失戀療傷;深夜EMO;熱血青春;城市夜行;通勤歌單;聚會合唱,
喜歡你,G.E.M.,4OqXWzekVw4,1818539908,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/f8/c3/66/f8c366a7-c24f-d408-1c8b-d706c52a2779/mzaf_10200984510696695871.plus.aac.p.m4a,87077817,"https://cdnt-preview.dzcdn.net/api/1/1/7/2/9/0/72977df7f0ac62e7e1763c1a6f085267.mp3?hdnea=exp=1789845017~acl=/api/1/1/7/2/9/0/72977df7f0ac62e7e1763c1a6f085267.mp3*~data=user_id=0,application_id=42~hmac=3267b9c6994ae4479149629a82ac7184272253bfc1e69370bb43a10c1da2afb7",270,華語流行;經典必聽;KTV必唱;R&B與節奏感;告白甜歌;熱血青春;城市夜行;通勤歌單;聚會合唱,
多遠都要在一起,G.E.M.,D9ksLn6hZ7Q,1053567928,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/44/fd/d8/44fdd8d6-6034-7213-5717-ee4b804eb8d8/mzaf_2585594036384074677.plus.aac.p.m4a,110680126,"https://cdnt-preview.dzcdn.net/api/1/1/3/c/6/0/3c622f49b30c0921af17f3eb30e7179c.mp3?hdnea=exp=1789845019~acl=/api/1/1/3/c/6/0/3c622f49b30c0921af17f3eb30e7179c.mp3*~data=user_id=0,application_id=42~hmac=b439d44e622541b04c52dbcf7306d7f139ebdbc8cd0db4a8e1fef87d5e2fba75",325,華語流行;經典必聽;KTV必唱;R&B與節奏感;失戀療傷;深夜EMO;熱血青春;城市夜行;通勤歌單;聚會合唱,
